Image File,Disabled parking spots,Parking spots,Cars,Empty disabled parking spots,Occupied disabled parking spots,Empty parking spots,Occupied parking spots,Cars in transit or parked in non-parking spots
empty_set1_60m_1.jpg,20,70,1,20,0,69,1,0
empty_set1_60m_2.jpg,20,70,1,20,0,69,1,0
empty_set1_65m_1.jpg,22,77,0,22,0,77,0,0
empty_set1_70m_2.jpg,22,77,1,22,0,76,1,0
empty_set1_75m_1.jpg,22,77,0,22,0,77,0,0
empty_set2_30m_2.jpg,0,32,0,0,0,32,0,0
empty_set2_30m_3.jpg,0,40,0,0,0,40,0,0
empty_set2_70m_1.jpg,2,147,0,2,0,147,0,0
empty_set2_70m_2.jpg,4,145,0,4,0,145,0,0
occupied_set1_30m_1.jpg,8,16,15,8,0,2,14,1
occupied_set1_30m_2.jpg,8,16,15,8,0,2,14,1
occupied_set1_40m_1.jpg,7,49,44,7,0,6,43,1
occupied_set1_50m_1.jpg,16,56,52,16,0,8,48,4
occupied_set1_50m_2.jpg,16,56,52,16,0,8,48,4
occupied_set1_60m_1.jpg,20,70,58,20,0,13,57,1
occupied_set1_70m_1.jpg,22,77,60,22,0,24,53,7
occupied_set1_70m_2.jpg,22,77,60,22,0,25,52,8
occupied_set2_30m_1.jpg,0,44,14,0,0,32,12,2
occupied_set2_30m_2.jpg,0,44,14,0,0,32,12,2
occupied_set2_40m_1.jpg,0,80,19,0,0,63,17,2
occupied_set2_50m_1.jpg,0,95,19,0,0,77,18,1
occupied_set2_60m_1.jpg,2,113,30,2,0,84,29,1
occupied_set2_70m_1.jpg,2,144,32,2,0,113,31,1
